"","Actual","Predicted","Profit","Signals"
"2022-11-29",395.230011,387.060959021185,-0.0206691084974695,"Hold"
"2022-11-30",407.679993,388.143927745223,-0.047920098092174,"Sell"
"2022-12-01",407.380005,389.276997145079,-0.0444376445400671,"Sell"
"2022-12-02",406.910004,390.457241656683,-0.0404334181553252,"Sell"
"2022-12-05",399.589996,391.562197480957,-0.0200900888395694,"Hold"
"2022-12-06",393.829987,392.647096764387,-0.00300355553070983,"Hold"
"2022-12-07",393.160004,393.65111280588,0.00124913216218243,"Hold"
"2022-12-08",396.23999,394.627468968893,-0.00406955651070665,"Hold"
"2022-12-09",393.279999,395.52211584835,0.00570107011302611,"Hold"
"2022-12-12",398.950012,396.221729295064,-0.00683865803452064,"Hold"
"2022-12-13",401.970001,396.80552169406,-0.0128479222158177,"Hold"
"2022-12-14",399.399994,397.328794028625,-0.00518577867423609,"Hold"
"2022-12-15",389.630005,397.84284848966,0.0210785703982421,"Buy"
"2022-12-16",383.269989,398.049803204869,0.0385624093434288,"Buy"
"2022-12-19",380.019989,398.042171706723,0.0474243019535563,"Buy"
"2022-12-20",380.540009,397.867000820202,0.0455326415367847,"Buy"
"2022-12-21",386.230011,397.502813463191,0.0291867595529527,"Buy"
"2022-12-22",380.720001,397.049551284848,0.0428912330372892,"Buy"
"2022-12-23",382.910004,396.478988067551,0.0354364835752655,"Buy"
"2022-12-27",381.399994,395.81107083905,0.0377846802982645,"Buy"
"2022-12-28",376.660004,395.076356881386,0.0488938371098892,"Buy"
"2022-12-29",383.440002,394.219028935259,0.0281113782574503,"Buy"
"2022-12-30",382.429993,393.307182242227,0.028442301705733,"Buy"
